"TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009"
"2016-08-12 06:41:48.044","1","1","1","1","1","1","1","1","1","1"
"2016-08-12 06:41:49.027","1","1","1","1","1","1","1","1","1","1"
"2016-08-12 06:41:50.115","1","1","1","1","2","2","1","1","1","1"
"2016-08-12 06:41:51.017","1","1","1","1","3","2","1","1","1","1"
"2016-08-12 06:41:52.135","1","1","1","1","4","3","1","1","1","1"
"2016-08-12 06:41:53.057","1","1","1","1","5","3","1","1","1","1"
"2016-08-12 06:41:54.027","1","1","1","1","6","4","1","1","1","1"
"2016-08-12 06:41:55.045","1","1","1","1","7","4","1","1","1","1"
"2016-08-12 06:41:56.052","1","1","1","1","8","4","1","1","1","1"
"2016-08-12 06:41:57.059","1","1","1","1","9","4","1","1","1","1"
"2016-08-12 06:41:58.059","1","1","1","1","10","4","1","1","1","1"
"2016-08-12 06:41:59.033","1","1","1","1","11","5","1","1","1","1"
"2016-08-12 06:42:00.055","1","1","1","1","12","5","1","1","1","1"
"2016-08-12 06:42:01.071","1","1","1","1","13","6","1","1","1","1"
"2016-08-12 06:42:02.052","1","1","1","1","14","7","1","1","1","1"
"2016-08-12 06:42:03.044","1","1","1","1","15","7","1","1","1","1"
"2016-08-12 06:42:04.040","1","1","1","1","16","8","1","1","1","1"
"2016-08-12 06:42:05.030","1","1","1","1","17","8","1","1","1","1"
"2016-08-12 06:42:06.063","1","1","1","1","18","9","1","1","1","1"
"2016-08-12 06:42:07.027","1","1","1","1","19","9","1","1","1","1"
"2016-08-12 06:42:08.048","1","1","1","1","20","10","1","1","1","1"
"2016-08-12 06:42:09.139","1","1","1","1","21","10","1","1","1","1"
"2016-08-12 06:42:10.068","1","1","1","1","22","11","1","1","1","1"
"2016-08-12 06:42:11.024","1","1","1","1","23","11","1","1","1","1"
"2016-08-12 06:42:12.022","1","1","1","1","24","12","1","1","1","1"
"2016-08-12 06:42:13.030","1","1","1","1","25","12","1","1","1","1"
"2016-08-12 06:42:14.041","1","1","1","1","26","13","1","1","1","1"
"2016-08-12 06:42:15.087","1","1","1","1","27","13","1","1","1","1"
"2016-08-12 06:42:16.032","1","1","1","1","28","13","1","1","1","1"
"2016-08-12 06:42:17.049","1","1","1","1","29","14","1","1","1","1"
"2016-08-12 06:42:18.053","1","1","1","1","30","14","1","1","1","1"
"2016-08-12 06:42:19.029","1","1","1","1","31","15","1","1","1","1"
"2016-08-12 06:42:20.044","1","1","1","1","32","15","1","1","1","1"
"2016-08-12 06:42:21.028","1","1","1","1","33","15","1","1","1","1"
"2016-08-12 06:42:22.034","1","1","1","1","34","16","1","1","1","1"
"2016-08-12 06:42:23.048","1","1","1","1","35","16","1","1","1","1"
"2016-08-12 06:42:24.034","1","1","1","1","36","16","1","1","1","1"
"2016-08-12 06:42:25.047","1","1","1","1","37","16","1","1","1","1"
"2016-08-12 06:42:26.030","1","1","1","1","38","17","1","1","1","1"
"2016-08-12 06:42:27.036","1","1","1","1","39","17","1","1","1","1"
"2016-08-12 06:42:28.050","1","1","1","1","40","18","1","1","1","1"
"2016-08-12 06:42:29.122","1","1","1","1","41","19","1","1","1","1"
"2016-08-12 06:42:30.039","1","1","1","1","42","20","1","1","1","1"
"2016-08-12 06:42:31.033","1","1","1","1","43","20","1","1","1","1"
"2016-08-12 06:42:32.022","1","1","1","1","44","20","1","1","1","1"
