2016-04-26 05:05:31.492, data, Event,R#0004,R#0004,R#0010
2016-04-26 05:05:38.986, data, Event,R#0004,R#0004,R#0011
2016-04-26 05:05:40.031, data, Event,R#0004,R#0004,R#0012
2016-04-26 05:05:48.292, data, Event,R#0004,R#0004,R#0013
2016-04-26 05:05:53.866, data, Event,R#0004,R#0004,R#0014
2016-04-26 05:05:54.504, data, Event,R#0004,R#0004,R#0015
2016-04-26 05:05:58.967, data, Event,R#0004,R#0004,R#0016
2016-04-26 05:06:04.356, data, Event,R#0004,R#0004,R#0017
2016-04-26 05:06:04.370, data, Event,R#0004,R#0004,R#0018
2016-04-26 05:06:05.506, data, Event,R#0004,R#0004,R#0019
2016-04-26 05:06:05.761, data, Event,R#0004,R#0004,R#0020
2016-04-26 05:06:05.791, data, Event,R#0004,R#0004,R#0021
2016-04-26 05:06:05.818, data, Event,R#0004,R#0004,R#0022
2016-04-26 05:06:05.865, data, Event,R#0004,R#0004,R#0023
2016-04-26 05:06:05.890, data, Event,R#0004,R#0004,R#0024
2016-04-26 05:06:05.966, data, Event,R#0004,R#0004,R#0025
2016-04-26 05:06:05.992, data, Event,R#0004,R#0004,R#0026
2016-04-26 05:06:06.009, data, Event,R#0004,R#0004,R#0027
2016-04-26 05:06:06.443, data, Event,R#0004,R#0004,R#0028
2016-04-26 05:06:06.483, data, Event,R#0004,R#0004,R#0029
2016-04-26 05:06:06.631, data, Event,R#0004,R#0004,R#0030
2016-04-26 05:06:06.664, data, Event,R#0004,R#0004,R#0031
2016-04-26 05:06:06.694, data, Event,R#0004,R#0004,R#0032
2016-04-26 05:06:06.796, data, Event,R#0004,R#0004,R#0033
2016-04-26 05:06:07.072, data, Event,R#0004,R#0004,R#0034
2016-04-26 05:06:07.287, data, Event,R#0004,R#0004,R#0035
2016-04-26 05:06:07.357, data, Event,R#0004,R#0004,R#0036
2016-04-26 05:06:07.629, data, Event,R#0004,R#0004,R#0037
2016-04-26 05:06:07.706, data, Event,R#0004,R#0004,R#0038
2016-04-26 05:06:07.824, data, Event,R#0004,R#0004,R#0039
2016-04-26 05:06:08.067, data, Event,R#0004,R#0004,R#0040
2016-04-26 05:06:08.229, data, Event,R#0004,R#0004,R#0041
2016-04-26 05:06:08.265, data, Event,R#0004,R#0004,R#0042
2016-04-26 05:06:08.477, data, Event,R#0004,R#0004,R#0043
2016-04-26 05:06:08.907, data, Event,R#0004,R#0004,R#0044
2016-04-26 05:06:09.131, data, Event,R#0004,R#0004,R#0045
2016-04-26 05:06:09.512, data, Event,R#0004,R#0004,R#0046
2016-04-26 05:06:10.132, data, Event,R#0004,R#0004,R#0047
2016-04-26 05:06:10.250, data, Event,R#0004,R#0004,R#0048
2016-04-26 05:06:10.780, data, Event,R#0004,R#0004,R#0049
2016-04-26 05:06:11.242, data, Event,R#0004,R#0004,R#0050
2016-04-26 05:06:11.295, data, Event,R#0004,R#0004,R#0051
2016-04-26 05:06:11.337, data, Event,R#0004,R#0004,R#0052
2016-04-26 05:06:11.381, data, Event,R#0004,R#0004,R#0053
2016-04-26 05:06:11.434, data, Event,R#0004,R#0004,R#0054
2016-04-26 05:06:11.464, data, Event,R#0004,R#0004,R#0055
2016-04-26 05:06:11.479, data, Event,R#0004,R#0004,R#0056
2016-04-26 05:06:11.546, data, Event,R#0004,R#0004,R#0057
2016-04-26 05:06:11.750, data, Event,R#0004,R#0004,R#0058
2016-04-26 05:06:12.003, data, Event,R#0004,R#0004,R#0059
2016-04-26 05:06:12.837, data, Event,R#0004,R#0004,R#0060
2016-04-26 05:06:13.512, data, Event,R#0004,R#0004,R#0061
2016-04-26 05:06:13.713, data, Event,R#0004,R#0004,R#0062
2016-04-26 05:06:14.191, data, Event,R#0004,R#0004,R#0063
2016-04-26 05:06:15.176, data, Event,R#0004,R#0004,R#0064
2016-04-26 05:06:15.752, data, Event,R#0005,R#0005,R#0065
2016-04-26 05:06:17.056, data, Event,R#0005,R#0005,R#0066
2016-04-26 05:06:17.467, data, Event,R#0005,R#0005,R#0067
2016-04-26 05:06:18.396, data, Event,R#0005,R#0005,R#0068
2016-04-26 05:06:18.551, data, Event,R#0005,R#0005,R#0069
2016-04-26 05:06:18.564, data, Event,R#0005,R#0005,R#0070
2016-04-26 05:06:19.223, data, Event,R#0005,R#0005,R#0071
2016-04-26 05:06:19.578, data, Event,R#0005,R#0005,R#0072
2016-04-26 05:06:20.403, data, Event,R#0005,R#0005,R#0073
2016-04-26 05:06:20.714, data, Event,R#0005,R#0005,R#0074
2016-04-26 05:06:21.409, data, Event,R#0005,R#0005,R#0075
2016-04-26 05:06:21.841, data, Event,R#0005,R#0005,R#0076
2016-04-26 05:06:21.855, data, Event,R#0005,R#0005,R#0077
2016-04-26 05:06:21.881, data, Event,R#0005,R#0005,R#0078
2016-04-26 05:06:22.267, data, Event,R#0005,R#0005,R#0079
2016-04-26 05:06:22.723, data, Event,R#0005,R#0005,R#0080
2016-04-26 05:06:23.286, data, Event,R#0005,R#0005,R#0081
2016-04-26 05:06:23.962, data, Event,R#0005,R#0005,R#0082
2016-04-26 05:06:24.523, data, Event,R#0005,R#0005,R#0083
2016-04-26 05:06:25.848, data, Event,R#0005,R#0005,R#0084
2016-04-26 05:06:26.085, data, Event,R#0005,R#0005,R#0085
2016-04-26 05:06:26.713, data, Event,R#0005,R#0005,R#0086
2016-04-26 05:06:26.871, data, Event,R#0005,R#0005,R#0087
2016-04-26 05:06:27.193, data, Event,R#0005,R#0005,R#0088
2016-04-26 05:06:27.482, data, Event,R#0005,R#0005,R#0089
2016-04-26 05:06:27.744, data, Event,R#0005,R#0005,R#0090
2016-04-26 05:06:27.769, data, Event,R#0005,R#0005,R#0091
2016-04-26 05:06:28.057, data, Event,R#0005,R#0005,R#0092
2016-04-26 05:06:28.174, data, Event,R#0005,R#0005,R#0093
2016-04-26 05:06:28.911, data, Event,R#0005,R#0005,R#0094
2016-04-26 05:06:30.130, data, Event,R#0005,R#0005,R#0095
