2016-04-26 05:04:48.000,,
2016-04-26 05:04:48.000,us,sy
2016-04-26 05:04:48.000,0,0
2016-04-26 05:04:49.000,32,5
2016-04-26 05:04:50.000,29,5
2016-04-26 05:04:51.000,37,5
2016-04-26 05:04:52.000,10,3
2016-04-26 05:04:53.000,22,3
2016-04-26 05:04:54.000,15,3
2016-04-26 05:04:55.000,16,4
2016-04-26 05:04:56.000,22,5
2016-04-26 05:04:57.000,15,6
2016-04-26 05:04:58.000,24,5
2016-04-26 05:04:59.000,30,6
2016-04-26 05:05:00.000,29,6
2016-04-26 05:05:01.000,23,8
2016-04-26 05:05:02.000,32,8
2016-04-26 05:05:03.000,33,10
2016-04-26 05:05:04.000,33,8
2016-04-26 05:05:05.000,32,10
2016-04-26 05:05:06.000,47,8
2016-04-26 05:05:07.000,43,5
2016-04-26 05:05:08.000,57,9
2016-04-26 05:05:09.000,41,8
2016-04-26 05:05:10.000,38,6
2016-04-26 05:05:11.000,41,10
2016-04-26 05:05:12.000,43,11
2016-04-26 05:05:13.000,36,7
2016-04-26 05:05:14.000,38,12
2016-04-26 05:05:15.000,36,11
2016-04-26 05:05:16.000,33,13
2016-04-26 05:05:17.000,35,8
2016-04-26 05:05:18.000,43,12
2016-04-26 05:05:19.000,46,12
2016-04-26 05:05:20.000,44,12
2016-04-26 05:05:21.000,40,7
2016-04-26 05:05:22.000,44,11
2016-04-26 05:05:23.000,44,10
2016-04-26 05:05:24.000,40,12
2016-04-26 05:05:25.000,33,13
2016-04-26 05:05:26.000,32,6
2016-04-26 05:05:27.000,34,12
2016-04-26 05:05:28.000,35,12
2016-04-26 05:05:29.000,34,13
2016-04-26 05:05:30.000,33,13
2016-04-26 05:05:31.000,36,8
2016-04-26 05:05:32.000,35,12
2016-04-26 05:05:33.000,43,15
2016-04-26 05:05:34.000,45,17
2016-04-26 05:05:35.000,46,15
2016-04-26 05:05:36.000,39,6
2016-04-26 05:05:37.000,51,14
2016-04-26 05:05:38.000,43,15
2016-04-26 05:05:39.000,46,15
2016-04-26 05:05:40.000,38,6
2016-04-26 05:05:41.000,57,17
2016-04-26 05:05:42.000,58,15
2016-04-26 05:05:43.000,42,11
2016-04-26 05:05:44.000,53,18
2016-04-26 05:05:45.000,42,14
2016-04-26 05:05:46.000,48,15
2016-04-26 05:05:47.000,55,18
2016-04-26 05:05:48.000,42,11
2016-04-26 05:05:49.000,60,17
2016-04-26 05:05:50.000,63,18
2016-04-26 05:05:51.000,39,10
2016-04-26 05:05:52.000,60,19
2016-04-26 05:05:53.000,65,16
2016-04-26 05:05:54.000,45,11
2016-04-26 05:05:55.000,72,18
2016-04-26 05:05:56.000,59,13
2016-04-26 05:05:57.000,65,15
2016-04-26 05:05:58.000,76,16
2016-04-26 05:05:59.000,52,11
2016-04-26 05:06:00.000,77,17
2016-04-26 05:06:01.000,71,16
2016-04-26 05:06:02.000,62,13
2016-04-26 05:06:03.000,79,16
2016-04-26 05:06:04.000,63,13
2016-04-26 05:06:05.000,81,16
2016-04-26 05:06:06.000,76,15
2016-04-26 05:06:07.000,75,13
2016-04-26 05:06:08.000,85,14
2016-04-26 05:06:09.000,76,12
2016-04-26 05:06:10.000,84,14
2016-04-26 05:06:11.000,82,12
2016-04-26 05:06:12.000,86,12
2016-04-26 05:06:13.000,84,13
2016-04-26 05:06:14.000,85,13
2016-04-26 05:06:15.000,84,13
2016-04-26 05:06:16.000,85,13
2016-04-26 05:06:17.000,85,12
2016-04-26 05:06:18.000,85,12
2016-04-26 05:06:19.000,85,12
2016-04-26 05:06:20.000,85,13
2016-04-26 05:06:21.000,86,12
2016-04-26 05:06:22.000,84,12
2016-04-26 05:06:23.000,86,12
2016-04-26 05:06:24.000,85,13
2016-04-26 05:06:25.000,85,14
2016-04-26 05:06:26.000,84,13
2016-04-26 05:06:27.000,85,13
2016-04-26 05:06:28.000,84,13
2016-04-26 05:06:29.000,84,13
2016-04-26 05:06:30.000,85,13
2016-04-26 05:06:31.000,86,12
