2016-04-27 16:34:45.847, data, Event,R#0004,R#0004,R#0010
2016-04-27 16:34:47.834, data, Event,R#0005,R#0005,R#0011
2016-04-27 16:35:15.778, data, Event,R#0004,R#0004,R#0012
2016-04-27 16:35:16.681, data, Event,R#0004,R#0004,R#0013
2016-04-27 16:35:17.777, data, Event,R#0005,R#0005,R#0014
2016-04-27 16:35:17.810, data, Event,R#0005,R#0005,R#0015
2016-04-27 16:35:17.890, data, Event,R#0005,R#0005,R#0016
2016-04-27 16:35:17.918, data, Event,R#0005,R#0005,R#0017
2016-04-27 16:35:18.375, data, Event,R#0005,R#0005,R#0018
2016-04-27 16:35:18.663, data, Event,R#0003,R#0003,R#0019
2016-04-27 16:35:19.835, data, Event,R#0003,R#0003,R#0020
2016-04-27 16:35:19.889, data, Event,R#0003,R#0003,R#0021
2016-04-27 16:35:20.304, data, Event,R#0003,R#0003,R#0022
2016-04-27 16:35:20.488, data, Event,R#0003,R#0003,R#0023
2016-04-27 16:35:20.708, data, Event,R#0004,R#0004,R#0024
2016-04-27 16:35:20.772, data, Event,R#0004,R#0004,R#0025
2016-04-27 16:35:20.990, data, Event,R#0004,R#0004,R#0026
2016-04-27 16:35:21.539, data, Event,R#0006,R#0006,R#0027
2016-04-27 16:35:21.801, data, Event,R#0006,R#0006,R#0028
2016-04-27 16:35:22.433, data, Event,R#0006,R#0006,R#0029
2016-04-27 16:35:22.550, data, Event,R#0006,R#0006,R#0030
2016-04-27 16:35:22.870, data, Event,R#0006,R#0006,R#0031
2016-04-27 16:35:22.969, data, Event,R#0006,R#0006,R#0032
2016-04-27 16:35:23.050, data, Event,R#0006,R#0006,R#0033
2016-04-27 16:35:23.358, data, Event,R#0004,R#0004,R#0034
