2016-04-27 16:34:11.000,,
2016-04-27 16:34:11.000,us,sy
2016-04-27 16:34:11.000,1,0
2016-04-27 16:34:12.000,28,6
2016-04-27 16:34:13.000,30,5
2016-04-27 16:34:14.000,34,5
2016-04-27 16:34:15.000,11,3
2016-04-27 16:34:16.000,30,3
2016-04-27 16:34:17.000,16,3
2016-04-27 16:34:18.000,20,4
2016-04-27 16:34:19.000,28,4
2016-04-27 16:34:20.000,25,5
2016-04-27 16:34:21.000,30,6
2016-04-27 16:34:22.000,35,7
2016-04-27 16:34:23.000,43,6
2016-04-27 16:34:24.000,38,8
2016-04-27 16:34:25.000,41,7
2016-04-27 16:34:26.000,62,7
2016-04-27 16:34:27.000,37,8
2016-04-27 16:34:28.000,37,8
2016-04-27 16:34:29.000,38,9
2016-04-27 16:34:30.000,51,7
2016-04-27 16:34:31.000,63,7
2016-04-27 16:34:32.000,60,7
2016-04-27 16:34:33.000,44,8
2016-04-27 16:34:34.000,49,10
2016-04-27 16:34:35.000,53,10
2016-04-27 16:34:36.000,47,12
2016-04-27 16:34:37.000,45,10
2016-04-27 16:34:38.000,58,12
2016-04-27 16:34:39.000,64,9
2016-04-27 16:34:40.000,65,11
2016-04-27 16:34:41.000,67,11
2016-04-27 16:34:42.000,68,10
2016-04-27 16:34:43.000,68,11
2016-04-27 16:34:44.000,64,11
2016-04-27 16:34:45.000,66,10
2016-04-27 16:34:46.000,75,10
2016-04-27 16:34:47.000,78,9
2016-04-27 16:34:48.000,80,11
2016-04-27 16:34:49.000,64,13
2016-04-27 16:34:50.000,59,14
2016-04-27 16:34:51.000,60,12
2016-04-27 16:34:52.000,63,12
2016-04-27 16:34:53.000,71,11
2016-04-27 16:34:54.000,65,12
2016-04-27 16:34:55.000,55,14
2016-04-27 16:34:56.000,53,14
2016-04-27 16:34:57.000,54,14
2016-04-27 16:34:58.000,57,15
2016-04-27 16:34:59.000,52,15
2016-04-27 16:35:00.000,56,14
2016-04-27 16:35:01.000,58,16
2016-04-27 16:35:02.000,64,14
2016-04-27 16:35:03.000,66,14
2016-04-27 16:35:04.000,59,15
2016-04-27 16:35:05.000,65,15
2016-04-27 16:35:06.000,67,15
2016-04-27 16:35:07.000,60,16
2016-04-27 16:35:08.000,64,17
2016-04-27 16:35:09.000,63,16
2016-04-27 16:35:10.000,62,16
2016-04-27 16:35:11.000,63,17
2016-04-27 16:35:12.000,69,16
2016-04-27 16:35:13.000,62,17
2016-04-27 16:35:14.000,60,17
2016-04-27 16:35:15.000,74,14
2016-04-27 16:35:16.000,77,13
2016-04-27 16:35:17.000,72,16
2016-04-27 16:35:18.000,77,16
2016-04-27 16:35:19.000,81,15
2016-04-27 16:35:20.000,84,14
2016-04-27 16:35:21.000,85,13
2016-04-27 16:35:22.000,85,13
2016-04-27 16:35:23.000,82,16
2016-04-27 16:35:24.000,82,15
2016-04-27 16:35:25.000,79,16
2016-04-27 16:35:26.000,70,17
2016-04-27 16:35:27.000,60,16
2016-04-27 16:35:28.000,59,16
2016-04-27 16:35:29.000,59,17
2016-04-27 16:35:30.000,59,17
2016-04-27 16:35:31.000,63,15
2016-04-27 16:35:32.000,64,14
2016-04-27 16:35:33.000,63,16
2016-04-27 16:35:34.000,60,17
2016-04-27 16:35:35.000,60,16
2016-04-27 16:35:36.000,60,16
2016-04-27 16:35:37.000,59,16
2016-04-27 16:35:38.000,59,16
2016-04-27 16:35:39.000,59,16
2016-04-27 16:35:40.000,59,17
2016-04-27 16:35:41.000,60,17
2016-04-27 16:35:42.000,59,18
2016-04-27 16:35:43.000,59,16
2016-04-27 16:35:44.000,59,17
2016-04-27 16:35:45.000,60,17
2016-04-27 16:35:46.000,58,17
2016-04-27 16:35:47.000,59,17
2016-04-27 16:35:48.000,59,16
2016-04-27 16:35:49.000,58,17
2016-04-27 16:35:50.000,59,16
2016-04-27 16:35:51.000,58,17
2016-04-27 16:35:52.000,61,16
2016-04-27 16:35:53.000,58,16
2016-04-27 16:35:54.000,60,16
