2016-04-27 16:34:11.000 procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
2016-04-27 16:34:11.000  r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
2016-04-27 16:34:11.000  7  0      0   9680    490   1849    0    0     0     0    1    1  1  0 99  0  0
2016-04-27 16:34:12.000  1  0      0   9630    490   1899    0    0     0  4528 1295 25415 28  6 66  0  0
2016-04-27 16:34:13.000  2  0      0   9588    490   1940    0    0     0     0 1195 27426 30  5 65  0  0
2016-04-27 16:34:14.000  5  0      0   9541    490   1987    0    0     0     0 1334 29632 34  5 61  0  0
2016-04-27 16:34:15.000  0  0      0   9490    490   2038    0    0     0     0 1132 19351 11  3 86  0  0
2016-04-27 16:34:16.000  0  0      0   9474    490   2054    0    0     0     0 1172 22910 30  3 66  0  0
2016-04-27 16:34:17.000  1  0      0   9456    490   2071    0    0     0   208 1119 22452 16  3 80  0  0
2016-04-27 16:34:18.000  0  0      0   9433    490   2094    0    0     0     0 1160 25804 20  4 76  0  0
2016-04-27 16:34:19.000  0  0      0   9393    490   2135    0    0     0     0 1112 26169 28  4 68  0  0
2016-04-27 16:34:20.000  0  0      0   9356    490   2171    0    0     0     0 1158 30242 25  5 70  0  0
2016-04-27 16:34:21.000  2  0      0   9312    490   2216    0    0     0     0 1093 31837 30  6 64  0  0
2016-04-27 16:34:22.000  2  0      0   9219    490   2309    0    0     0   120 1188 34853 35  7 58  0  0
2016-04-27 16:34:23.000  2  0      0   9153    490   2375    0    0     0     0 1078 30221 43  6 51  0  0
2016-04-27 16:34:24.000  1  0      0   9037    490   2492    0    0     0     0 1177 32550 38  8 54  0  0
2016-04-27 16:34:25.000  1  0      0   8908    490   2619    0    0     0     0 1080 34048 41  7 51  0  0
2016-04-27 16:34:26.000  4  0      0   8755    490   2773    0    0     0     0 1188 29057 62  7 32  0  0
2016-04-27 16:34:27.000  1  0      0   8775    490   2753    0    0     0    96 1070 31400 37  8 55  0  0
2016-04-27 16:34:28.000  1  0      0   8651    490   2876    0    0     0     0 1167 32367 37  8 55  0  0
2016-04-27 16:34:29.000  3  0      0   8467    490   3061    0    0     0     0 1109 33975 38  9 53  0  0
2016-04-27 16:34:30.000  2  0      0   8296    490   3232    0    0     0     0 1158 27995 51  7 42  0  0
2016-04-27 16:34:31.000  4  0      0   8394    490   3133    0    0     0     0 1100 25967 63  7 30  0  0
2016-04-27 16:34:32.000  3  0      0   8414    490   3112    0    0     0   104 1167 28544 60  7 33  0  0
2016-04-27 16:34:33.000  4  0      0   8374    490   3152    0    0     0     0 1110 34554 44  8 48  0  0
2016-04-27 16:34:34.000  3  0      0   8410    490   3117    0    0     0     0 1148 36913 49 10 41  0  0
2016-04-27 16:34:35.000  4  0      0   8388    490   3138    0    0     0     0 1110 37278 53 10 37  0  0
2016-04-27 16:34:36.000  2  0      0   8329    490   3197    0    0     0     0 1145 41472 47 12 42  0  0
2016-04-27 16:34:37.000  6  0      0   8317    490   3208    0    0     0   104 1100 36495 45 10 46  0  0
2016-04-27 16:34:38.000  6  0      0   8294    490   3233    0    0     0     0 1166 38106 58 12 31  0  0
2016-04-27 16:34:39.000 11  0      0   8288    490   3240    0    0     0     0 1110 34876 64  9 27  0  0
2016-04-27 16:34:40.000 14  0      0   8311    490   3216    0    0     0     0 1161 37888 65 11 25  0  0
2016-04-27 16:34:41.000 10  0      0   8158    490   3369    0    0     0     0 1100 38321 67 11 22  0  0
2016-04-27 16:34:42.000  5  0      0   8142    490   3385    0    0     0    92 1164 38179 68 10 22  0  0
2016-04-27 16:34:43.000  5  0      0   8088    490   3438    0    0     0     0 1134 40969 68 11 21  0  0
2016-04-27 16:34:44.000  5  0      0   8093    490   3433    0    0     0     0 1160 39693 64 11 26  0  0
2016-04-27 16:34:45.000  9  0      0   8306    490   3220    0    0     0     0 1096 36853 66 10 24  0  0
2016-04-27 16:34:46.000  8  0      0   8220    490   3307    0    0     0   612 1256 39790 75 10 15  0  0
2016-04-27 16:34:47.000 25  0      0   8192    490   3335    0    0     0   128 1111 32218 78  9 13  0  0
2016-04-27 16:34:48.000  7  0      0   8360    490   3166    0    0     0     0 1183 35628 80 11  9  0  0
2016-04-27 16:34:49.000  3  0      0   8344    490   3182    0    0     0     0 1120 51272 64 13 23  0  0
2016-04-27 16:34:50.000  3  0      0   8357    490   3168    0    0     0     0 1148 46387 59 14 28  0  0
2016-04-27 16:34:51.000  5  0      0   8329    490   3197    0    0     0     0 1117 47222 60 12 28  0  0
2016-04-27 16:34:52.000 18  0      0   8285    490   3240    0    0     0     0 1133 42163 63 12 25  0  0
2016-04-27 16:34:53.000  5  0      0   8253    490   3273    0    0     0   144 1167 39613 71 11 17  0  0
2016-04-27 16:34:54.000  8  0      0   8338    490   3188    0    0     0     0 1127 41686 65 12 23  0  0
2016-04-27 16:34:55.000  5  0      0   8371    490   3154    0    0     0     0 1155 49925 55 14 31  0  0
2016-04-27 16:34:56.000  6  0      0   8370    490   3154    0    0     0     0 1112 49949 53 14 33  0  0
2016-04-27 16:34:57.000  8  0      0   8338    490   3187    0    0     0     0 1149 50139 54 14 32  0  0
2016-04-27 16:34:58.000  7  0      0   8357    490   3168    0    0     0   104 1146 51331 57 15 28  0  0
2016-04-27 16:34:59.000  7  0      0   8356    490   3168    0    0     0     0 1148 54437 52 15 33  0  0
2016-04-27 16:35:00.000  8  0      0   8344    490   3181    0    0     0     0 1130 45867 56 14 30  0  0
2016-04-27 16:35:01.000 12  0      0   8343    490   3182    0    0     0     0 1146 55444 58 16 26  0  0
2016-04-27 16:35:02.000  8  0      0   8334    490   3192    0    0     0     0 1138 48560 64 14 23  0  0
2016-04-27 16:35:03.000  8  0      0   8336    490   3189    0    0     0   112 1163 50064 66 14 20  0  0
2016-04-27 16:35:04.000  8  0      0   8335    490   3190    0    0     0     0 1115 58302 59 15 26  0  0
2016-04-27 16:35:05.000 17  0      0   8309    490   3216    0    0     0     0 1137 49590 65 15 20  0  0
2016-04-27 16:35:06.000 11  0      0   8325    490   3201    0    0     0     0 1138 51131 67 15 18  0  0
2016-04-27 16:35:07.000 11  0      0   8324    490   3201    0    0     0     0 1118 58706 60 16 24  0  0
2016-04-27 16:35:08.000 10  0      0   8319    490   3206    0    0     0   104 1175 56113 64 17 19  0  0
2016-04-27 16:35:09.000  8  0      0   8324    490   3200    0    0     0     0 1111 55428 63 16 21  0  0
2016-04-27 16:35:10.000  7  0      0   8323    490   3201    0    0     0     0 1169 58444 62 16 22  0  0
2016-04-27 16:35:11.000  9  0      0   8322    490   3202    0    0     0     0 1116 56843 63 17 20  0  0
2016-04-27 16:35:12.000  8  0      0   8320    490   3205    0    0     0     0 1162 50025 69 16 15  0  0
2016-04-27 16:35:13.000  8  0      0   8322    490   3202    0    0     0   120 1132 58875 62 17 21  0  0
2016-04-27 16:35:14.000 15  0      0   8322    490   3202    0    0     0     0 1146 60298 60 17 23  0  0
2016-04-27 16:35:15.000 17  0      0   8263    490   3262    0    0     0     0 1117 45022 74 14 12  0  0
2016-04-27 16:35:16.000 13  0      0   8322    490   3203    0    0     0     0 1201 45279 77 13  9  0  0
2016-04-27 16:35:17.000 15  0      0   8320    490   3204    0    0     0     0 1139 51561 72 16 11  0  0
2016-04-27 16:35:18.000 31  0      0   8314    490   3211    0    0     0   132 1276 55766 77 16  7  0  0
2016-04-27 16:35:19.000 20  0      0   8310    490   3215    0    0     0     0 1173 50514 81 15  4  0  0
2016-04-27 16:35:20.000 42  0      0   8272    490   3253    0    0     0     0 1174 39160 84 14  2  0  0
2016-04-27 16:35:21.000 35  0      0   8291    490   3234    0    0     0    84 1195 39649 85 13  2  0  0
2016-04-27 16:35:22.000 35  0      0   8295    490   3229    0    0     0     0 1248 40810 85 13  2  0  0
2016-04-27 16:35:23.000 27  0      0   8287    490   3237    0    0     0   136 1162 45286 82 16  2  0  0
2016-04-27 16:35:24.000 31  0      0   8285    490   3239    0    0     0     0 1250 47949 82 15  3  0  0
2016-04-27 16:35:25.000 34  0      0   8284    490   3240    0    0     0     0 1153 53735 79 16  5  0  0
2016-04-27 16:35:26.000 18  0      0   8282    490   3242    0    0     0     0 1187 59361 70 17 13  0  0
2016-04-27 16:35:27.000  9  0      0   8281    490   3242    0    0     0     0 1126 65262 60 16 24  0  0
2016-04-27 16:35:28.000  8  0      0   8280    490   3243    0    0     0   152 1179 66273 59 16 25  0  0
2016-04-27 16:35:29.000 14  0      0   8280    490   3243    0    0     0     0 1140 67327 59 17 24  0  0
2016-04-27 16:35:30.000 11  0      0   8280    490   3243    0    0     0     0 1158 66159 59 17 24  0  0
2016-04-27 16:35:31.000 12  0      0   8278    490   3245    0    0     0     0 1140 61862 63 15 21  0  0
2016-04-27 16:35:32.000 16  0      0   8258    490   3265    0    0     0     0 1162 59577 64 14 21  0  0
2016-04-27 16:35:33.000 13  0      0   8277    490   3245    0    0     0   124 1170 62547 63 16 21  0  0
2016-04-27 16:35:34.000 15  0      0   8277    490   3245    0    0     0     0 1142 66731 60 17 23  0  0
2016-04-27 16:35:35.000 16  0      0   8277    490   3245    0    0     0     0 1145 66365 60 16 24  0  0
2016-04-27 16:35:36.000 11  0      0   8277    490   3245    0    0     0     0 1156 66225 60 16 24  0  0
2016-04-27 16:35:37.000 11  0      0   8277    490   3246    0    0     0     0 1143 66903 59 16 25  0  0
2016-04-27 16:35:38.000  7  0      0   8277    490   3246    0    0     0   112 1175 65977 59 16 25  0  0
2016-04-27 16:35:39.000 16  0      0   8276    490   3246    0    0     0     0 1142 64958 59 16 24  0  0
2016-04-27 16:35:40.000 11  0      0   8276    490   3246    0    0     0     0 1142 64599 59 17 24  0  0
2016-04-27 16:35:41.000 14  0      0   8276    490   3246    0    0     0     0 1139 66093 60 17 23  0  0
2016-04-27 16:35:42.000  9  0      0   8276    490   3246    0    0     0     0 1161 66006 59 18 24  0  0
2016-04-27 16:35:43.000  8  0      0   8276    490   3247    0    0     0   112 1132 66708 59 16 25  0  0
2016-04-27 16:35:44.000 11  0      0   8275    490   3247    0    0     0     0 1181 66536 59 17 24  0  0
2016-04-27 16:35:45.000  8  0      0   8275    490   3247    0    0     0     0 1137 65533 60 17 23  0  0
2016-04-27 16:35:46.000 13  0      0   8275    490   3247    0    0     0     0 1182 67682 58 17 24  0  0
2016-04-27 16:35:47.000 10  0      0   8274    490   3247    0    0     0     0 1159 65724 59 17 24  0  0
2016-04-27 16:35:48.000  7  0      0   8275    490   3246    0    0     0   112 1168 65862 59 16 25  0  0
2016-04-27 16:35:49.000 10  0      0   8275    490   3247    0    0     0     0 1147 66896 58 17 25  0  0
2016-04-27 16:35:50.000 14  0      0   8275    490   3247    0    0     0     0 1179 65872 59 16 25  0  0
2016-04-27 16:35:51.000 10  0      0   8275    490   3247    0    0     0     0 1119 66199 58 17 26  0  0
2016-04-27 16:35:52.000 13  0      0   8275    490   3247    0    0     0     0 1186 64377 61 16 24  0  0
2016-04-27 16:35:53.000 12  0      0   8275    490   3247    0    0     0   108 1154 67337 58 16 26  0  0
2016-04-27 16:35:54.000 10  0      0   8265    490   3257    0    0     0     0 1169 64845 60 16 24  0  0
