2016-04-26 05:22:18.712, data, Event,R#0004,R#0004,R#0010
2016-04-26 05:22:20.524, data, Event,R#0004,R#0004,R#0011
2016-04-26 05:22:22.148, data, Event,R#0004,R#0004,R#0012
2016-04-26 05:22:23.085, data, Event,R#0004,R#0004,R#0013
2016-04-26 05:22:23.185, data, Event,R#0004,R#0004,R#0014
2016-04-26 05:22:23.278, data, Event,R#0004,R#0004,R#0015
2016-04-26 05:22:23.434, data, Event,R#0004,R#0004,R#0016
2016-04-26 05:22:23.527, data, Event,R#0004,R#0004,R#0017
2016-04-26 05:22:23.564, data, Event,R#0004,R#0004,R#0018
2016-04-26 05:22:23.593, data, Event,R#0004,R#0004,R#0019
2016-04-26 05:22:23.763, data, Event,R#0004,R#0004,R#0020
2016-04-26 05:22:23.846, data, Event,R#0004,R#0004,R#0021
2016-04-26 05:22:23.954, data, Event,R#0004,R#0004,R#0022
2016-04-26 05:22:24.106, data, Event,R#0004,R#0004,R#0023
2016-04-26 05:22:24.201, data, Event,R#0004,R#0004,R#0024
2016-04-26 05:22:24.892, data, Event,R#0004,R#0004,R#0025
2016-04-26 05:22:24.985, data, Event,R#0004,R#0004,R#0026
2016-04-26 05:22:25.023, data, Event,R#0004,R#0004,R#0027
2016-04-26 05:22:25.141, data, Event,R#0004,R#0004,R#0028
2016-04-26 05:22:25.346, data, Event,R#0004,R#0004,R#0029
2016-04-26 05:22:25.513, data, Event,R#0004,R#0004,R#0030
2016-04-26 05:22:25.723, data, Event,R#0004,R#0004,R#0031
2016-04-26 05:22:25.953, data, Event,R#0004,R#0004,R#0032
2016-04-26 05:22:26.303, data, Event,R#0004,R#0004,R#0033
2016-04-26 05:22:26.806, data, Event,R#0004,R#0004,R#0034
2016-04-26 05:22:27.271, data, Event,R#0004,R#0004,R#0035
2016-04-26 05:22:27.473, data, Event,R#0004,R#0004,R#0036
2016-04-26 05:22:27.749, data, Event,R#0004,R#0004,R#0037
2016-04-26 05:22:28.376, data, Event,R#0004,R#0004,R#0038
2016-04-26 05:22:28.617, data, Event,R#0004,R#0004,R#0039
2016-04-26 05:22:28.875, data, Event,R#0004,R#0004,R#0040
