2016-04-26 05:21:52.000,,
2016-04-26 05:21:52.000,us,sy
2016-04-26 05:21:52.000,0,0
2016-04-26 05:21:53.000,29,5
2016-04-26 05:21:54.000,29,4
2016-04-26 05:21:55.000,32,5
2016-04-26 05:21:56.000,16,3
2016-04-26 05:21:57.000,31,3
2016-04-26 05:21:58.000,37,4
2016-04-26 05:21:59.000,30,4
2016-04-26 05:22:00.000,35,4
2016-04-26 05:22:01.000,36,5
2016-04-26 05:22:02.000,31,6
2016-04-26 05:22:03.000,34,6
2016-04-26 05:22:04.000,30,8
2016-04-26 05:22:05.000,40,7
2016-04-26 05:22:06.000,52,6
2016-04-26 05:22:07.000,51,9
2016-04-26 05:22:08.000,34,7
2016-04-26 05:22:09.000,33,9
2016-04-26 05:22:10.000,44,9
2016-04-26 05:22:11.000,59,5
2016-04-26 05:22:12.000,64,10
2016-04-26 05:22:13.000,51,7
2016-04-26 05:22:14.000,55,9
2016-04-26 05:22:15.000,55,6
2016-04-26 05:22:16.000,63,9
2016-04-26 05:22:17.000,51,7
2016-04-26 05:22:18.000,54,11
2016-04-26 05:22:19.000,67,10
2016-04-26 05:22:20.000,60,7
2016-04-26 05:22:21.000,76,13
2016-04-26 05:22:22.000,62,8
2016-04-26 05:22:23.000,75,12
2016-04-26 05:22:24.000,88,10
2016-04-26 05:22:25.000,70,6
2016-04-26 05:22:26.000,88,10
2016-04-26 05:22:27.000,82,8
2016-04-26 05:22:28.000,89,10
2016-04-26 05:22:29.000,88,11
2016-04-26 05:22:30.000,87,9
2016-04-26 05:22:31.000,89,10
2016-04-26 05:22:32.000,88,10
2016-04-26 05:22:33.000,88,10
2016-04-26 05:22:34.000,89,9
2016-04-26 05:22:35.000,85,12
2016-04-26 05:22:36.000,85,11
2016-04-26 05:22:37.000,84,10
2016-04-26 05:22:38.000,87,11
2016-04-26 05:22:39.000,89,9
2016-04-26 05:22:40.000,87,11
2016-04-26 05:22:41.000,87,10
2016-04-26 05:22:42.000,87,10
2016-04-26 05:22:43.000,88,9
2016-04-26 05:22:44.000,86,11
2016-04-26 05:22:45.000,86,12
2016-04-26 05:22:46.000,85,11
2016-04-26 05:22:47.000,87,11
2016-04-26 05:22:48.000,87,11
2016-04-26 05:22:49.000,86,10
2016-04-26 05:22:50.000,86,11
2016-04-26 05:22:51.000,86,12
2016-04-26 05:22:52.000,85,11
2016-04-26 05:22:53.000,86,11
2016-04-26 05:22:54.000,86,12
2016-04-26 05:22:55.000,85,11
2016-04-26 05:22:56.000,86,11
2016-04-26 05:22:57.000,85,12
2016-04-26 05:22:58.000,88,10
2016-04-26 05:22:59.000,87,11
2016-04-26 05:23:00.000,87,11
2016-04-26 05:23:01.000,88,10
2016-04-26 05:23:02.000,86,12
2016-04-26 05:23:03.000,86,12
2016-04-26 05:23:04.000,86,12
2016-04-26 05:23:05.000,86,12
2016-04-26 05:23:06.000,85,13
2016-04-26 05:23:07.000,85,12
2016-04-26 05:23:08.000,86,12
2016-04-26 05:23:09.000,86,11
2016-04-26 05:23:10.000,87,11
2016-04-26 05:23:11.000,86,12
2016-04-26 05:23:12.000,86,12
2016-04-26 05:23:13.000,85,13
2016-04-26 05:23:14.000,86,11
2016-04-26 05:23:15.000,85,12
2016-04-26 05:23:16.000,86,12
2016-04-26 05:23:17.000,85,12
2016-04-26 05:23:18.000,85,13
2016-04-26 05:23:19.000,85,13
2016-04-26 05:23:20.000,86,12
2016-04-26 05:23:21.000,84,12
2016-04-26 05:23:22.000,85,13
2016-04-26 05:23:23.000,86,12
2016-04-26 05:23:24.000,85,13
2016-04-26 05:23:25.000,86,12
2016-04-26 05:23:26.000,86,12
2016-04-26 05:23:27.000,85,12
2016-04-26 05:23:28.000,85,12
2016-04-26 05:23:29.000,87,11
2016-04-26 05:23:30.000,87,12
2016-04-26 05:23:31.000,85,12
2016-04-26 05:23:32.000,85,13
2016-04-26 05:23:33.000,85,13
2016-04-26 05:23:34.000,86,12
2016-04-26 05:23:35.000,85,14
2016-04-26 05:23:36.000,55,8
2016-04-26 05:23:37.000,16,2
2016-04-26 05:23:38.000,14,2
2016-04-26 05:23:39.000,15,2
2016-04-26 05:23:40.000,14,2
2016-04-26 05:23:41.000,4,2
2016-04-26 05:23:42.000,1,2
2016-04-26 05:23:43.000,2,2
2016-04-26 05:23:44.000,2,2
2016-04-26 05:23:45.000,2,2
