"F#TIME","AGENT","FROM","TO"
"2016-08-31 18:57:57.511","10","",""
"2016-08-31 18:57:58.503","10","",""
"2016-08-31 18:57:59.617","10","(R#004->R#004),(R#005->R#005),(R#004->R#004)","R#010,R#011,R#012"
"2016-08-31 18:58:00.474","13","(R#004->R#004),(R#005->R#005)","R#013,R#014"
"2016-08-31 18:58:01.513","15","(R#004->R#004)","R#015"
"2016-08-31 18:58:02.489","16","",""
"2016-08-31 18:58:03.508","16","(R#004->R#004)","R#016"
"2016-08-31 18:58:04.487","17","(R#005->R#005)","R#017"
"2016-08-31 18:58:05.527","18","(R#004->R#004),(R#005->R#005)","R#018,R#019"
"2016-08-31 18:58:06.523","20","(R#004->R#004)","R#020"
"2016-08-31 18:58:07.493","21","(R#005->R#005)","R#021"
"2016-08-31 18:58:08.527","22","(R#004->R#004)","R#022"
"2016-08-31 18:58:09.517","23","(R#004->R#004)","R#023"
"2016-08-31 18:58:10.497","24","(R#004->R#004),(R#005->R#005)","R#024,R#025"
"2016-08-31 18:58:11.506","26","(R#004->R#004)","R#026"
"2016-08-31 18:58:12.476","27","(R#004->R#004)","R#027"
"2016-08-31 18:58:13.480","28","(R#004->R#004)","R#028"
"2016-08-31 18:58:14.485","29","(R#005->R#005)","R#029"
"2016-08-31 18:58:15.481","30","(R#004->R#004),(R#005->R#005)","R#030,R#031"
"2016-08-31 18:58:16.485","32","(R#004->R#004),(R#005->R#005)","R#032,R#033"
"2016-08-31 18:58:17.502","34","(R#004->R#004)","R#034"
"2016-08-31 18:58:18.484","35","(R#004->R#004),(R#005->R#005)","R#035,R#036"
"2016-08-31 18:58:19.515","37","(R#004->R#004)","R#037"
"2016-08-31 18:58:20.526","38","(R#005->R#005),(R#004->R#004)","R#038,R#039"
"2016-08-31 18:58:21.481","40","(R#004->R#004)","R#040"
"2016-08-31 18:58:22.485","41","(R#005->R#005),(R#004->R#004)","R#041,R#042"
"2016-08-31 18:58:23.520","43","(R#004->R#004),(R#005->R#005)","R#043,R#044"
"2016-08-31 18:58:24.511","45","(R#004->R#004)","R#045"
"2016-08-31 18:58:25.484","46","(R#004->R#004),(R#005->R#005)","R#046,R#047"
"2016-08-31 18:58:26.490","48","(R#004->R#004)","R#048"
"2016-08-31 18:58:27.483","49","(R#005->R#005),(R#004->R#004)","R#049,R#050"
"2016-08-31 18:58:28.483","51","(R#005->R#005),(R#004->R#004)","R#051,R#052"
"2016-08-31 18:58:29.514","53","(R#004->R#004)","R#053"
"2016-08-31 18:58:30.484","54","(R#004->R#004)","R#054"
"2016-08-31 18:58:31.489","55","(R#005->R#005),(R#004->R#004)","R#055,R#056"
"2016-08-31 18:58:32.487","57","(R#005->R#005),(R#004->R#004)","R#057,R#058"
"2016-08-31 18:58:33.481","59","(R#004->R#004),(R#005->R#005)","R#059,R#060"
"2016-08-31 18:58:34.488","61","(R#004->R#004),(R#005->R#005)","R#061,R#062"
"2016-08-31 18:58:35.486","63","(R#004->R#004),(R#005->R#005)","R#063,R#064"
"2016-08-31 18:58:36.484","65","(R#004->R#004),(R#005->R#005)","R#065,R#066"
"2016-08-31 18:58:37.491","67","(R#004->R#004)","R#067"
"2016-08-31 18:58:38.486","68","(R#005->R#005),(R#004->R#004)","R#068,R#069"
"2016-08-31 18:58:39.482","70","(R#004->R#004),(R#005->R#005)","R#070,R#071"
"2016-08-31 18:58:40.486","72","(R#005->R#005),(R#004->R#004)","R#072,R#073"
"2016-08-31 18:58:41.488","74","(R#004->R#004),(R#005->R#005)","R#074,R#075"
"2016-08-31 18:58:42.490","76","(R#004->R#004)","R#076"
"2016-08-31 18:58:43.498","77","(R#005->R#005),(R#004->R#004)","R#077,R#078"
"2016-08-31 18:58:44.488","79","(R#004->R#004)","R#079"
"2016-08-31 18:58:45.483","80","(R#005->R#005),(R#004->R#004)","R#080,R#081"
"2016-08-31 18:58:46.487","82","(R#004->R#004),(R#005->R#005)","R#082,R#083"
"2016-08-31 18:58:47.482","84","(R#004->R#004)","R#084"
"2016-08-31 18:58:48.499","85","(R#005->R#005),(R#004->R#004)","R#085,R#086"
"2016-08-31 18:58:49.490","87","(R#004->R#004),(R#005->R#005)","R#087,R#088"
"2016-08-31 18:58:50.490","89","(R#004->R#004),(R#005->R#005)","R#089,R#090"
"2016-08-31 18:58:51.494","91","(R#004->R#004),(R#005->R#005)","R#091,R#092"
"2016-08-31 18:58:52.489","93","(R#004->R#004),(R#005->R#005)","R#093,R#094"
"2016-08-31 18:58:53.493","95","(R#004->R#004)","R#095"
"2016-08-31 18:58:54.486","96","(R#004->R#004),(R#005->R#005)","R#096,R#097"
"2016-08-31 18:58:55.521","98","(R#004->R#004),(R#005->R#005)","R#098,R#099"
"2016-08-31 18:58:56.502","100","(R#004->R#004),(R#005->R#005)","R#100,R#101"
"2016-08-31 18:58:57.485","102","(R#004->R#004),(R#005->R#005)","R#102,R#103"
"2016-08-31 18:58:58.496","104","(R#004->R#004),(R#005->R#005)","R#104,R#105"
"2016-08-31 18:58:59.490","106","(R#005->R#005),(R#004->R#004)","R#106,R#107"
"2016-08-31 18:59:00.498","108","(R#004->R#004),(R#005->R#005)","R#108,R#109"
"2016-08-31 18:59:01.493","110","(R#005->R#005),(R#004->R#004)","R#110,R#111"
"2016-08-31 18:59:02.484","112","(R#004->R#004)","R#112"
"2016-08-31 18:59:03.490","113","(R#005->R#005),(R#004->R#004)","R#113,R#114"
"2016-08-31 18:59:04.495","115","(R#004->R#004),(R#005->R#005)","R#115,R#116"
"2016-08-31 18:59:05.502","117","(R#004->R#004)","R#117"
"2016-08-31 18:59:06.496","118","(R#004->R#004),(R#005->R#005)","R#118,R#119"
"2016-08-31 18:59:07.492","120","(R#004->R#004)","R#120"
"2016-08-31 18:59:08.484","121","(R#004->R#004),(R#005->R#005)","R#121,R#122"
"2016-08-31 18:59:09.511","123","(R#004->R#004),(R#005->R#005)","R#123,R#124"
"2016-08-31 18:59:10.483","125","(R#004->R#004),(R#005->R#005)","R#125,R#126"
"2016-08-31 18:59:11.490","127","(R#004->R#004),(R#005->R#005)","R#127,R#128"
"2016-08-31 18:59:12.490","129","(R#004->R#004)","R#129"
"2016-08-31 18:59:13.498","130","(R#005->R#005),(R#004->R#004)","R#130,R#131"
"2016-08-31 18:59:14.483","132","(R#004->R#004)","R#132"
"2016-08-31 18:59:15.500","133","(R#005->R#005),(R#004->R#004)","R#133,R#134"
"2016-08-31 18:59:16.500","135","(R#004->R#004),(R#005->R#005)","R#135,R#136"
"2016-08-31 18:59:17.486","137","(R#004->R#004),(R#005->R#005)","R#137,R#138"
"2016-08-31 18:59:18.493","139","(R#004->R#004),(R#005->R#005)","R#139,R#140"
"2016-08-31 18:59:19.491","141","(R#004->R#004),(R#005->R#005)","R#141,R#142"
"2016-08-31 18:59:20.497","143","(R#004->R#004),(R#005->R#005)","R#143,R#144"
"2016-08-31 18:59:21.485","145","(R#004->R#004)","R#145"
"2016-08-31 18:59:22.494","146","(R#005->R#005),(R#004->R#004)","R#146,R#147"
"2016-08-31 18:59:23.484","148","(R#004->R#004),(R#005->R#005)","R#148,R#149"
