"F#TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009","Total","Z#TEST","Z#GTEST"
"2016-08-29 05:10:43.329","0","0","0","0","0","0","0","0","0","0","0","505000","505000"
"2016-08-29 05:10:44.361","300","0","200","0","300","0","400","0","100","0","1300","505000","1010000"
"2016-08-29 05:10:45.321","42563","40773","37872","35592","41502","38058","40687","37862","43990","39648","398547","505000","1515000"
"2016-08-29 05:10:46.429","113971","105324","114252","105301","112311","109132","113495","106302","113156","104771","1098015","505000","2020000"
"2016-08-29 05:10:47.487","162065","166310","166059","163066","163060","162169","163509","174034","164663","172004","1656939","505000","2525000"
"2016-08-29 05:10:48.356","205365","203744","206334","204250","203408","205081","204236","203726","208495","200066","2044705","505000","3030000"
"2016-08-29 05:10:49.309","254345","252068","255252","254372","251623","253117","253170","254023","258511","249625","2536106","505000","3535000"
"2016-08-29 05:10:50.306","304306","301225","306198","304129","301945","303563","302565","303195","309439","298642","3035207","505000","4040000"
"2016-08-29 05:10:51.536","390273","384844","390552","387390","381995","376849","366102","354009","393359","374793","3800166","505000","4545000"
"2016-08-29 05:10:52.315","406165","402959","408822","407143","402554","405735","403761","404000","412438","398632","4052209","505000","5050000"
"2016-08-29 05:10:53.372","459851","458972","464959","462455","457469","461746","456781","463418","468851","455508","4610010","505000","5555000"
"2016-08-29 05:10:54.299","505810","502369","509488","507240","501643","505468","503404","505330","514355","497204","5052311","505000","6060000"
"2016-08-29 05:10:55.321","556869","553708","561411","559973","551813","557168","553616","556031","565653","547970","5564212","505000","6565000"
"2016-08-29 05:10:56.310","608045","602938","612010","608458","602374","606446","604241","606186","617360","596455","6064513","505000","7070000"
"2016-08-29 05:10:57.319","658029","653556","662309","659544","652316","657477","654978","657704","668668","646633","6571214","505000","7575000"
"2016-08-29 05:10:58.304","708637","703536","712827","710046","702778","707669","704995","707584","720478","696365","7074915","505000","8080000"
"2016-08-29 05:10:59.308","758795","753131","763875","761647","752689","758827","754904","758674","771502","745943","7579987","505000","8585000"
"2016-08-29 05:11:00.307","809954","803994","815293","811675","803252","809339","805412","809292","823078","795428","8086717","505000","9090000"
"2016-08-29 05:11:01.343","864411","854315","867855","862599","856382","859670","859524","859457","873906","845500","8603619","505000","9595000"
"2016-08-29 05:11:02.327","912267","904605","918478","913347","903876","911085","906857","909968","927554","895482","9103519","505000","10100000"
"2016-08-29 05:11:03.315","962142","956024","969477","965151","954565","960983","958028","960209","977970","946071","9610620","505000","10605000"
"2016-08-29 05:11:04.362","1012617","1010647","1019387","1020538","1003933","1012803","1007568","1016105","1028270","999440","10131308","505000","11110000"
"2016-08-29 05:11:05.313","1062681","1056061","1069791","1066159","1053950","1061936","1057384","1061996","1080432","1043932","10614322","505000","11615000"
"2016-08-29 05:11:06.317","1114755","1105370","1122020","1116141","1105727","1112332","1106959","1111504","1133740","1093515","11122063","505000","12120000"
"2016-08-29 05:11:07.333","1164382","1157178","1171616","1167609","1155467","1164375","1158818","1163216","1183645","1145218","11631524","505000","12625000"
"2016-08-29 05:11:08.323","1214781","1205043","1222620","1218789","1204540","1214086","1208204","1213831","1234676","1195307","12131877","505000","13130000"
"2016-08-29 05:11:09.317","1265165","1255812","1274737","1268510","1255356","1263522","1260339","1263526","1287992","1242967","12637926","505000","13635000"
