"F#TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009","Total"
"2016-08-29 05:10:43.339","0","0","0","0","0","0","0","0","0","0",""
"2016-08-29 05:10:44.381","2","6","10","1","7","9","3","4","10","8",""
"2016-08-29 05:10:45.367","5","1","126","120","2","94","24","138","7","79",""
"2016-08-29 05:10:46.549","48","50","61","49","59","15","55","32","79","22",""
"2016-08-29 05:10:47.806","45","85","4","181","43","250","39","70","52","78",""
"2016-08-29 05:10:48.387","11","13","3","23","0","12","1","32","28","39",""
"2016-08-29 05:10:49.423","4","0","9","10","12","23","20","1","5","7",""
"2016-08-29 05:10:50.395","6","52","1","93","13","18","5","3","12","15",""
"2016-08-29 05:10:51.638","16","38","43","37","66","93","160","265","43","77",""
"2016-08-29 05:10:52.384","3","30","5","26","17","60","2","19","23","31",""
"2016-08-29 05:10:53.390","37","26","22","33","20","27","40","17","20","17",""
"2016-08-29 05:10:54.338","9","6","15","1","6","3","5","14","4","6",""
"2016-08-29 05:10:55.362","49","27","60","12","44","31","43","38","62","36",""
"2016-08-29 05:10:56.367","3","5","12","14","8","4","15","15","7","8",""
"2016-08-29 05:10:57.330","24","12","8","14","3","9","9","1","27","18",""
"2016-08-29 05:10:58.364","16","8","21","8","12","8","14","7","10","10",""
"2016-08-29 05:10:59.326","18","26","16","7","4","6","20","9","3","15",""
"2016-08-29 05:11:00.344","0","11","8","29","1","16","1","7","8","13",""
"2016-08-29 05:11:01.365","12","6","34","6","19","2","15","15","72","1",""
"2016-08-29 05:11:02.365","22","1","21","37","16","12","8","9","12","18",""
"2016-08-29 05:11:03.346","1","0","4","4","7","6","9","1","6","0",""
"2016-08-29 05:11:04.382","0","2","1","1","11","38","0","1","12","12",""
"2016-08-29 05:11:05.342","15","3","11","6","10","12","4","0","1","17",""
"2016-08-29 05:11:06.341","6","4","5","5","0","4","44","11","2","13",""
"2016-08-29 05:11:07.355","3","0","39","17","2","7","1","16","2","4",""
"2016-08-29 05:11:08.361","13","60","21","0","14","28","26","1","27","0",""
"2016-08-29 05:11:09.349","23","7","19","6","17","1","20","2","10","1",""
"2016-08-29 05:11:10.404","59","1","33","11","36","22","38","2","45","0",""
"2016-08-29 05:11:11.326","16","11","13","21","14","5","20","7","13","8",""
"2016-08-29 05:11:12.564","14","75","11","77","20","99","3","24","10","76",""
"2016-08-29 05:11:13.373","11","6","13","25","16","17","18","8","6","22",""
"2016-08-29 05:11:14.327","11","19","17","19","19","0","12","1","18","1",""
"2016-08-29 05:11:15.332","7","19","3","1","5","0","13","22","18","0",""
"2016-08-29 05:11:16.343","10","7","52","6","28","6","13","5","17","2",""
"2016-08-29 05:11:17.334","30","4","6","12","7","11","10","24","9","25",""
"2016-08-29 05:11:18.355","25","28","30","4","25","7","27","8","26","6",""
"2016-08-29 05:11:19.342","2","21","0","14","6","97","18","12","17","20",""
"2016-08-29 05:11:20.327","9","1","1","19","19","21","13","14","8","9",""
"2016-08-29 05:11:21.376","6","79","15","0","14","6","14","4","5","8",""
"2016-08-29 05:11:22.434","42","49","50","67","40","58","38","41","33","38",""
"2016-08-29 05:11:23.365","5","39","6","11","2","14","7","5","4","29",""
"2016-08-29 05:11:24.369","39","1","12","25","13","0","25","27","0","16",""
"2016-08-29 05:11:25.390","19","8","1","0","13","10","1","8","18","22",""
"2016-08-29 05:11:26.360","10","42","0","35","2","31","2","26","28","33",""
"2016-08-29 05:11:27.442","20","25","62","15","31","18","21","38","44","2",""
"2016-08-29 05:11:28.502","121","8","55","6","22","5","15","13","34","17",""
"2016-08-29 05:11:29.327","21","1","1","2","9","8","10","17","16","64",""
"2016-08-29 05:11:30.338","10","13","9","31","10","5","10","16","14","6",""
"2016-08-29 05:11:31.327","12","12","25","15","10","4","24","7","19","13",""
"2016-08-29 05:11:32.319","12","0","6","5","9","10","10","10","4","8",""
"2016-08-29 05:11:33.379","11","25","32","11","40","4","34","49","26","5",""
"2016-08-29 05:11:34.440","64","7","90","8","59","11","71","47","67","1",""
"2016-08-29 05:11:35.338","8","9","12","4","15","35","8","1","13","31",""
"2016-08-29 05:11:36.341","3","1","1","25","10","6","3","12","14","24",""
"2016-08-29 05:11:37.351","0","19","2","27","17","13","7","25","12","19",""
"2016-08-29 05:11:38.329","0","4","4","29","1","1","15","6","1","11",""
"2016-08-29 05:11:39.329","2","17","7","11","5","35","5","18","1","26",""
"2016-08-29 05:11:40.354","22","8","27","6","19","1","25","18","7","35",""
"2016-08-29 05:11:41.341","0","4","18","16","11","9","5","27","2","19",""
"2016-08-29 05:11:42.324","2","2","6","4","20","3","9","7","0","6",""
"2016-08-29 05:11:43.354","13","7","16","1","6","4","1","6","7","42",""
"2016-08-29 05:11:44.361","6","0","1","24","18","21","7","58","9","8",""
"2016-08-29 05:11:45.535","37","104","41","2","6","18","30","2","33","6",""
"2016-08-29 05:11:46.327","37","4","5","6","6","12","21","10","28","4",""
"2016-08-29 05:11:47.315","5","1","1","1","0","1","1","1","2","1",""
"2016-08-29 05:11:48.352","0","24","1","12","12","13","1","15","0","0",""
"2016-08-29 05:11:49.346","3","23","12","29","24","30","13","8","28","34",""
"2016-08-29 05:11:50.338","14","1","7","5","3","8","10","1","1","12",""
"2016-08-29 05:11:51.314","2","0","1","0","1","1","0","1","1","2",""
"2016-08-29 05:11:52.350","13","7","14","16","18","14","8","25","16","8",""
"2016-08-29 05:11:53.454","6","2","15","18","12","37","19","41","6","22",""
"2016-08-29 05:11:54.408","19","3","15","2","17","0","39","17","11","5",""
"2016-08-29 05:11:55.336","13","0","21","50","4","21","1","12","29","5",""
"2016-08-29 05:11:56.350","2","14","8","11","11","21","1","19","15","13",""
"2016-08-29 05:11:57.354","18","1","28","7","16","6","0","4","15","8",""
"2016-08-29 05:11:58.341","20","1","19","4","4","2","1","10","31","29",""
"2016-08-29 05:11:59.415","21","37","45","26","16","27","1","13","14","58",""
"2016-08-29 05:12:00.396","2","22","17","5","21","3","29","28","16","8",""
"2016-08-29 05:12:01.450","67","29","41","27","37","32","10","28","24","21",""
"2016-08-29 05:12:02.323","33","4","14","14","6","15","8","3","16","11",""
"2016-08-29 05:12:03.329","5","12","2","6","9","4","21","16","14","4",""
"2016-08-29 05:12:04.353","8","20","29","22","10","0","18","23","36","8",""
"2016-08-29 05:12:05.342","9","5","17","34","27","9","28","12","31","9",""
