"F#TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009"
"2016-08-29 05:10:43.339","0","0","0","0","0","0","0","0","0","0"
"2016-08-29 05:10:44.381","0","0","1","0","1","0","0","0","0","0"
"2016-08-29 05:10:45.369","1","0","74","66","0","56","4","82","4","44"
"2016-08-29 05:10:46.549","49","104","99","71","86","28","76","34","95","15"
"2016-08-29 05:10:47.806","0","4","0","120","0","203","0","0","6","0"
"2016-08-29 05:10:48.388","18","17","43","29","29","15","41","41","33","36"
"2016-08-29 05:10:49.424","2","1","11","5","13","4","21","1","5","0"
"2016-08-29 05:10:50.397","16","73","1","136","40","111","5","7","103","25"
"2016-08-29 05:10:51.639","18","69","84","45","116","143","239","443","83","126"
"2016-08-29 05:10:52.384","5","51","13","46","34","90","0","38","41","53"
"2016-08-29 05:10:53.391","64","43","42","55","70","45","70","29","34","31"
"2016-08-29 05:10:54.338","21","25","29","17","11","14","23","8","23","36"
"2016-08-29 05:10:55.363","74","36","103","15","67","43","69","64","95","58"
"2016-08-29 05:10:56.368","9","25","20","81","18","8","37","51","15","5"
"2016-08-29 05:10:57.330","25","17","39","23","6","11","16","0","35","23"
"2016-08-29 05:10:58.365","20","8","19","19","25","12","27","10","1","15"
"2016-08-29 05:10:59.327","21","22","15","7","10","16","16","8","3","14"
"2016-08-29 05:11:00.345","5","13","18","43","7","28","2","7","15","22"
"2016-08-29 05:11:01.369","18","11","48","10","30","1","25","17","76","4"
"2016-08-29 05:11:02.366","28","4","27","62","23","23","14","23","14","30"
"2016-08-29 05:11:03.347","6","11","4","2","8","8","13","66","7","0"
"2016-08-29 05:11:04.383","8","4","2","33","11","50","8","41","11","15"
"2016-08-29 05:11:05.343","24","8","16","9","15","15","6","0","6","24"
"2016-08-29 05:11:06.341","0","55","26","4","6","3","51","17","22","18"
"2016-08-29 05:11:07.356","18","0","48","26","8","11","4","23","4","2"
"2016-08-29 05:11:08.362","10","61","35","0","9","30","29","0","32","0"
"2016-08-29 05:11:09.349","29","20","28","12","24","7","28","5","16","5"
"2016-08-29 05:11:10.405","86","8","73","25","52","42","52","8","68","36"
"2016-08-29 05:11:11.326","13","9","9","13","17","4","14","2","11","3"
"2016-08-29 05:11:12.564","90","101","166","105","53","138","33","32","102","102"
"2016-08-29 05:11:13.374","17","11","35","39","22","27","12","16","20","33"
"2016-08-29 05:11:14.328","9","13","21","7","1","0","4","0","7","4"
"2016-08-29 05:11:15.333","4","15","3","3","4","0","14","9","19","0"
"2016-08-29 05:11:16.344","14","10","51","9","29","9","23","10","28","2"
"2016-08-29 05:11:17.335","30","10","8","23","15","11","16","18","14","26"
"2016-08-29 05:11:18.356","34","41","56","9","52","10","52","11","36","7"
"2016-08-29 05:11:19.342","2","20","1","29","7","38","27","8","17","28"
"2016-08-29 05:11:20.328","12","31","1","19","19","20","11","13","10","9"
"2016-08-29 05:11:21.376","11","100","23","0","18","14","22","4","7","11"
"2016-08-29 05:11:22.434","49","68","64","94","52","79","48","54","49","59"
"2016-08-29 05:11:23.366","54","47","1","19","35","21","58","9","3","35"
"2016-08-29 05:11:24.370","55","6","18","56","21","1","38","52","1","28"
"2016-08-29 05:11:25.391","28","11","59","61","21","16","2","11","28","32"
"2016-08-29 05:11:26.361","15","57","0","56","4","44","0","35","40","47"
"2016-08-29 05:11:27.442","31","37","89","24","47","29","30","56","64","3"
"2016-08-29 05:11:28.502","244","62","86","14","34","41","22","35","56","94"
"2016-08-29 05:11:29.328","23","1","8","6","6","7","5","18","13","39"
"2016-08-29 05:11:30.338","11","28","20","46","7","21","33","30","38","14"
"2016-08-29 05:11:31.328","12","7","18","11","4","1","12","4","14","7"
"2016-08-29 05:11:32.320","10","0","10","16","9","7","9","16","13","6"
"2016-08-29 05:11:33.379","18","49","49","27","58","16","51","84","38","17"
"2016-08-29 05:11:34.440","86","9","122","16","78","51","102","57","104","34"
"2016-08-29 05:11:35.338","11","15","17","17","21","31","11","10","22","35"
"2016-08-29 05:11:36.341","5","1","1","48","18","11","7","16","23","35"
"2016-08-29 05:11:37.351","19","18","1","49","14","13","14","40","10","24"
"2016-08-29 05:11:38.330","1","40","0","41","7","0","9","9","7","9"
"2016-08-29 05:11:39.330","10","31","14","16","15","35","20","24","10","27"
"2016-08-29 05:11:40.354","33","0","46","2","6","15","38","16","1","11"
"2016-08-29 05:11:41.342","2","7","26","20","16","17","6","47","4","30"
"2016-08-29 05:11:42.324","2","3","10","0","40","19","17","21","0","13"
"2016-08-29 05:11:43.354","17","16","20","34","5","8","1","13","7","45"
"2016-08-29 05:11:44.362","12","1","8","34","34","27","12","64","23","11"
"2016-08-29 05:11:45.535","78","147","119","2","7","26","102","3","65","8"
"2016-08-29 05:11:46.327","31","1","4","3","3","8","16","11","23","5"
"2016-08-29 05:11:47.315","0","0","0","0","1","0","0","0","0","1"
"2016-08-29 05:11:48.353","7","22","1","9","8","12","0","14","0","0"
"2016-08-29 05:11:49.347","89","30","12","40","31","40","88","90","36","47"
"2016-08-29 05:11:50.339","18","2","10","11","7","12","17","1","0","21"
"2016-08-29 05:11:51.314","7","2","3","7","2","1","0","0","0","0"
"2016-08-29 05:11:52.350","25","8","29","23","31","18","21","36","31","9"
"2016-08-29 05:11:53.454","6","4","38","25","6","55","42","60","12","30"
"2016-08-29 05:11:54.408","27","18","23","3","23","28","57","53","17","28"
"2016-08-29 05:11:55.336","7","1","17","38","0","15","4","8","24","7"
"2016-08-29 05:11:56.350","16","22","24","17","30","28","20","26","36","16"
"2016-08-29 05:11:57.355","29","0","44","11","34","13","8","6","26","12"
"2016-08-29 05:11:58.341","18","1","25","6","5","3","2","7","27","24"
"2016-08-29 05:11:59.416","29","54","64","40","23","40","8","18","22","77"
"2016-08-29 05:12:00.396","6","23","21","4","25","6","40","33","11","10"
"2016-08-29 05:12:01.451","101","42","65","37","51","45","15","39","40","31"
"2016-08-29 05:12:02.323","30","10","12","22","7","21","6","10","11","20"
"2016-08-29 05:12:03.329","31","19","3","9","38","9","27","24","21","5"
"2016-08-29 05:12:04.353","14","17","37","23","13","22","28","39","41","9"
"2016-08-29 05:12:05.343","12","14","26","32","36","24","33","17","38","2"
"2016-08-29 05:12:06.324","18","8","24","2","8","3","25","10","2","23"
