Ti00,<Length>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<Event>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<CPU>:,us,sy
06:19.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:19.2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:19.3,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:19.4,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:19.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:19.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:19.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:19.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:19.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,9
06:20.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.2,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.3,,0,0,9,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.4,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:20.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,9
06:21.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,11,6
06:21.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,11,6
