2015-12-06 09:07:03.000,,
2015-12-06 09:07:03.000,us,sy
2015-12-06 09:07:03.000,2,1
2015-12-06 09:07:04.000,26,16
2015-12-06 09:07:05.000,28,11
2015-12-06 09:07:06.000,21,8
2015-12-06 09:07:07.000,36,14
2015-12-06 09:07:08.000,70,28
2015-12-06 09:07:09.000,56,35
2015-12-06 09:07:10.000,62,31
2015-12-06 09:07:11.000,66,28
2015-12-06 09:07:12.000,62,33
2015-12-06 09:07:13.000,64,30
2015-12-06 09:07:14.000,63,29
2015-12-06 09:07:15.000,59,36
2015-12-06 09:07:16.000,55,41
2015-12-06 09:07:17.000,56,39
2015-12-06 09:07:18.000,48,45
2015-12-06 09:07:19.000,58,39
2015-12-06 09:07:20.000,83,17
2015-12-06 09:07:21.000,57,39
2015-12-06 09:07:22.000,47,47
2015-12-06 09:07:23.000,48,46
2015-12-06 09:07:24.000,52,44
2015-12-06 09:07:25.000,50,46
2015-12-06 09:07:26.000,59,36
2015-12-06 09:07:27.000,51,43
2015-12-06 09:07:28.000,51,42
2015-12-06 09:07:29.000,60,35
2015-12-06 09:07:30.000,54,41
2015-12-06 09:07:31.000,50,44
2015-12-06 09:07:32.000,45,49
2015-12-06 09:07:33.000,45,49
2015-12-06 09:07:34.000,43,49
2015-12-06 09:07:35.000,51,45
2015-12-06 09:07:36.000,53,42
2015-12-06 09:07:37.000,55,38
2015-12-06 09:07:38.000,52,36
2015-12-06 09:07:39.000,56,31
2015-12-06 09:07:40.000,52,35
2015-12-06 09:07:41.000,55,33
2015-12-06 09:07:42.000,58,31
2015-12-06 09:07:43.000,57,32
2015-12-06 09:07:44.000,53,34
2015-12-06 09:07:45.000,58,33
2015-12-06 09:07:46.000,58,30
2015-12-06 09:07:47.000,57,34
2015-12-06 09:07:48.000,45,37
2015-12-06 09:07:49.000,52,37
2015-12-06 09:07:50.000,53,34
2015-12-06 09:07:51.000,53,35
2015-12-06 09:07:52.000,53,36
2015-12-06 09:07:53.000,52,35
2015-12-06 09:07:54.000,58,31
2015-12-06 09:07:55.000,58,30
2015-12-06 09:07:56.000,49,38
2015-12-06 09:07:57.000,55,33
2015-12-06 09:07:58.000,53,33
2015-12-06 09:07:59.000,55,35
2015-12-06 09:08:00.000,56,32
2015-12-06 09:08:01.000,51,34
2015-12-06 09:08:02.000,57,31
2015-12-06 09:08:03.000,54,34
2015-12-06 09:08:04.000,51,34
2015-12-06 09:08:05.000,47,29
2015-12-06 09:08:06.000,30,14
2015-12-06 09:08:07.000,35,12
2015-12-06 09:08:08.000,29,14
2015-12-06 09:08:09.000,27,12
