2015-09-21 11:29:20.499, init, ExecTime_60 [sec] DataPeriod_1000 [ms] DataType_Mount DataN_18300000  
2015-09-21 11:29:20.499, init, Server: N_1 Host_[localhost:2809]
2015-09-21 11:29:20.500, init, UserAgentN_10 Wait[ms]: Agent_100
2015-09-21 11:29:20.500, init, MsgQueueN_10 MaxMQLength_100 WindowSize_100 Wait[ms]: Queue_100 
2015-09-21 11:29:20.604, data, MQL
2015-09-21 11:29:20.609, data, MQL
2015-09-21 11:29:20.709, data, MQL
2015-09-21 11:29:20.810, data, MQL
2015-09-21 11:29:20.909, data, MQL
2015-09-21 11:29:21.009, data, MQL
2015-09-21 11:29:21.115, data, MQL
2015-09-21 11:29:21.209, data, MQL
2015-09-21 11:29:21.309, data, MQL
2015-09-21 11:29:21.410, data, MQL
2015-09-21 11:29:21.513, data, MQL
2015-09-21 11:29:21.609, data, MQL
2015-09-21 11:29:21.710, data, MQL
2015-09-21 11:29:21.809, data, MQL
2015-09-21 11:29:21.909, data, MQL
2015-09-21 11:29:22.008, data, MQL
2015-09-21 11:29:22.115, data, MQL
2015-09-21 11:29:22.209, data, MQL
2015-09-21 11:29:22.311, data, MQL
2015-09-21 11:29:22.410, data, MQL
2015-09-21 11:29:22.510, data, MQL
2015-09-21 11:29:22.615, data, MQL
2015-09-21 11:29:22.709, data, MQL
2015-09-21 11:29:22.822, data, MQL
2015-09-21 11:29:22.909, data, MQL
2015-09-21 11:29:23.009, data, MQL
2015-09-21 11:29:23.090, start, Start Agent System
2015-09-21 11:29:23.092, field, MQName,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 
2015-09-21 11:29:23.111, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:23.210, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:23.310, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:23.409, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:23.509, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:23.610, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:23.710, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:23.810, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:23.910, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:24.009, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:24.116, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:24.211, data, MQL,2 ,0 ,5 ,0 ,0 ,0 ,7 ,0 ,0 ,0 
2015-09-21 11:29:24.309, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2015-09-21 11:29:24.409, data, MQL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
