2015-09-21 11:29:19.000,,
2015-09-21 11:29:19.000,us,sy
2015-09-21 11:29:19.000,10,6
2015-09-21 11:29:20.000,58,30
2015-09-21 11:29:21.000,56,22
2015-09-21 11:29:22.000,55,29
2015-09-21 11:29:23.000,30,12
2015-09-21 11:29:24.000,25,9
2015-09-21 11:29:25.000,21,8
2015-09-21 11:29:26.000,17,7
2015-09-21 11:29:27.000,14,9
2015-09-21 11:29:28.000,20,8
2015-09-21 11:29:29.000,18,9
2015-09-21 11:29:30.000,19,9
2015-09-21 11:29:31.000,19,6
2015-09-21 11:29:32.000,21,8
2015-09-21 11:29:33.000,15,9
2015-09-21 11:29:34.000,15,8
2015-09-21 11:29:35.000,18,10
2015-09-21 11:29:36.000,14,7
2015-09-21 11:29:37.000,20,14
2015-09-21 11:29:38.000,18,10
2015-09-21 11:29:39.000,21,17
2015-09-21 11:29:40.000,19,9
2015-09-21 11:29:41.000,33,14
2015-09-21 11:29:42.000,49,21
2015-09-21 11:29:43.000,28,13
2015-09-21 11:29:44.000,38,11
2015-09-21 11:29:45.000,22,16
2015-09-21 11:29:46.000,12,10
2015-09-21 11:29:47.000,25,14
2015-09-21 11:29:48.000,13,12
2015-09-21 11:29:49.000,25,12
2015-09-21 11:29:50.000,16,12
2015-09-21 11:29:51.000,19,12
2015-09-21 11:29:52.000,23,15
2015-09-21 11:29:53.000,15,11
2015-09-21 11:29:54.000,38,13
2015-09-21 11:29:55.000,18,15
2015-09-21 11:29:56.000,15,12
2015-09-21 11:29:57.000,20,13
2015-09-21 11:29:58.000,22,15
2015-09-21 11:29:59.000,15,11
2015-09-21 11:30:00.000,27,13
2015-09-21 11:30:01.000,24,27
2015-09-21 11:30:02.000,46,25
2015-09-21 11:30:03.000,15,15
2015-09-21 11:30:04.000,17,19
2015-09-21 11:30:05.000,22,18
2015-09-21 11:30:06.000,26,19
2015-09-21 11:30:07.000,22,17
2015-09-21 11:30:08.000,14,14
2015-09-21 11:30:09.000,16,14
2015-09-21 11:30:10.000,15,13
2015-09-21 11:30:11.000,18,17
2015-09-21 11:30:12.000,18,20
2015-09-21 11:30:13.000,17,16
2015-09-21 11:30:14.000,36,31
2015-09-21 11:30:15.000,47,35
2015-09-21 11:30:16.000,22,22
2015-09-21 11:30:17.000,18,20
2015-09-21 11:30:18.000,23,21
2015-09-21 11:30:19.000,38,30
2015-09-21 11:30:21.000,54,33
2015-09-21 11:30:21.000,37,32
2015-09-21 11:30:22.000,23,19
2015-09-21 11:30:23.000,37,30
2015-09-21 11:30:24.000,55,29
2015-09-21 11:30:25.000,60,25
