2015-09-21 11:29:19.000 procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
2015-09-21 11:29:19.000  r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
2015-09-21 11:29:19.000  5  0      0   2873    155   1005    0    0   225    43  541  521 10  6 84  0  0
2015-09-21 11:29:20.000  3  0      0   2844    156   1033    0    0  1368     0 1212 5719 58 30 11  2  0
2015-09-21 11:29:21.000  2  0      0   2833    158   1041    0    0  2740     0 1342 4930 56 22 20  2  0
2015-09-21 11:29:22.000  6  0      0   2806    160   1065    0    0  3056   344 1397 15650 55 29 12  4  0
2015-09-21 11:29:23.000  5  0      0   2791    160   1079    0    0   156     0 1043 4702 30 12 58  0  0
2015-09-21 11:29:24.000  1  0      0   2795    160   1074    0    0     0     0 1004 2263 25  9 67  0  0
2015-09-21 11:29:25.000  0  0      0   2794    160   1075    0    0     0     0 1021 2093 21  8 72  0  0
2015-09-21 11:29:26.000  0  0      0   2794    160   1076    0    0     0     0 1003 2289 17  7 76  0  0
2015-09-21 11:29:27.000  0  0      0   2793    160   1076    0    0     0   152 1032 2374 14  9 76  0  0
2015-09-21 11:29:28.000  2  0      0   2792    160   1077    0    0     0     0 1003 2538 20  8 72  0  0
2015-09-21 11:29:29.000  1  0      0   2791    160   1079    0    0     0     0 1023 2197 18  9 73  0  0
2015-09-21 11:29:30.000  0  0      0   2788    160   1081    0    0     0     0 1003 2892 19  9 72  0  0
2015-09-21 11:29:31.000  0  0      0   2787    160   1082    0    0     0     0 1021 1999 19  6 76  0  0
2015-09-21 11:29:32.000  3  0      0   2785    160   1085    0    0     0    52 1006 2696 21  8 71  0  0
2015-09-21 11:29:33.000  3  0      0   2784    160   1085    0    0     0     0 1031 2953 15  9 76  0  0
2015-09-21 11:29:34.000  2  0      0   2783    160   1087    0    0     0     0 1004 2719 15  8 77  0  0
2015-09-21 11:29:35.000  2  0      0   2783    160   1087    0    0     0     0 1020 2904 18 10 73  0  0
2015-09-21 11:29:36.000  0  0      0   2790    160   1079    0    0     0     0 1000 2114 14  7 80  0  0
2015-09-21 11:29:37.000  2  0      0   2780    160   1090    0    0     0   104 1022 4845 20 14 65  0  0
2015-09-21 11:29:38.000  4  0      0   2779    160   1091    0    0     0     0 1006 3119 18 10 72  0  0
2015-09-21 11:29:39.000  2  0      0   2778    160   1091    0    0     0     0 1022 4172 21 17 62  0  0
2015-09-21 11:29:40.000  0  0      0   2776    160   1093    0    0     0     0 1004 2682 19  9 73  0  0
2015-09-21 11:29:41.000  1  0      0   2743    160   1127    0    0     0     0 1020 2543 33 14 53  0  0
2015-09-21 11:29:42.000  0  0      0   2776    160   1094    0    0     0    68 1009 3364 49 21 30  0  0
2015-09-21 11:29:43.000  0  0      0   2773    160   1097    0    0     0     0 1020 3387 28 13 59  0  0
2015-09-21 11:29:44.000  0  0      0   2769    160   1101    0    0     0     0 1005 2766 38 11 51  0  0
2015-09-21 11:29:45.000  0  0      0   2774    160   1096    0    0     0     0 1019 4539 22 16 63  0  0
2015-09-21 11:29:46.000  0  0      0   2774    160   1096    0    0     0     0 1004 3256 12 10 78  0  0
2015-09-21 11:29:47.000  0  0      0   2771    160   1099    0    0     0    72 1026 4118 25 14 61  1  0
2015-09-21 11:29:48.000  2  0      0   2769    160   1100    0    0     0     0 1017 3699 13 12 76  0  0
2015-09-21 11:29:49.000  0  0      0   2769    160   1101    0    0     0     0 1022 3496 25 12 63  0  0
2015-09-21 11:29:50.000  1  0      0   2769    160   1101    0    0     0     0 1002 3510 16 12 72  0  0
2015-09-21 11:29:51.000  0  0      0   2768    160   1102    0    0     0     0 1021 3638 19 12 70  0  0
2015-09-21 11:29:52.000  2  0      0   2768    160   1102    0    0     0    96 1005 4480 23 15 61  0  0
2015-09-21 11:29:53.000  0  0      0   2767    160   1102    0    0     0   312 1074 3630 15 11 74  0  0
2015-09-21 11:29:54.000  0  0      0   2754    160   1116    0    0     0     0 1004 3781 38 13 49  0  0
2015-09-21 11:29:55.000  1  0      0   2751    160   1118    0    0     0     0 1019 4753 18 15 67  0  0
2015-09-21 11:29:56.000  0  0      0   2764    160   1105    0    0     0     0 1006 5042 15 12 73  0  0
2015-09-21 11:29:57.000  0  0      0   2764    160   1106    0    0     0    76 1026 5018 20 13 68  0  0
2015-09-21 11:29:58.000  2  0      0   2763    160   1106    0    0     0     0 1003 5566 22 15 64  0  0
2015-09-21 11:29:59.000  0  0      0   2761    160   1108    0    0     0     0 1020 3722 15 11 74  0  0
2015-09-21 11:30:00.000  0  0      0   2755    160   1115    0    0     0     0 1002 4517 27 13 61  0  0
2015-09-21 11:30:01.000  3  0      0   2708    160   1162    0    0     0     0 1020 4626 24 27 49  0  0
2015-09-21 11:30:02.000  3  0      0   2748    160   1122    0    0     0    76 1001 6358 46 25 29  0  0
2015-09-21 11:30:03.000  1  0      0   2746    160   1124    0    0     0     0 1031 5407 15 15 70  0  0
2015-09-21 11:30:04.000  1  0      0   2756    160   1113    0    0     0     0 1003 6819 17 19 64  0  0
2015-09-21 11:30:05.000  1  0      0   2745    160   1125    0    0     0     0 1021 5752 22 18 60  0  0
2015-09-21 11:30:06.000  1  0      0   2744    160   1126    0    0     0     0 1002 6208 26 19 55  0  0
2015-09-21 11:30:07.000  4  0      0   2753    160   1117    0    0     0   116 1021 6049 22 17 60  1  0
2015-09-21 11:30:08.000  1  0      0   2753    160   1116    0    0     0     0 1002 6204 14 14 72  0  0
2015-09-21 11:30:09.000  1  0      0   2753    160   1116    0    0     0     0 1016 4543 16 14 70  0  0
2015-09-21 11:30:10.000  2  0      0   2752    160   1118    0    0     0     0 1004 4497 15 13 72  0  0
2015-09-21 11:30:11.000  1  0      0   2752    160   1118    0    0     0     0 1018 5990 18 17 65  0  0
2015-09-21 11:30:12.000  1  0      0   2744    160   1126    0    0     0    72 1007 6846 18 20 63  0  0
2015-09-21 11:30:13.000  1  0      0   2743    160   1127    0    0     0     0 1020 5518 17 16 67  0  0
2015-09-21 11:30:14.000  4  0      0   2695    160   1175    0    0     0     0 1000 7615 36 31 33  0  0
2015-09-21 11:30:15.000  6  0      0   2666    160   1205    0    0     0     0 1017 7306 47 35 18  0  0
2015-09-21 11:30:16.000  1  0      0   2744    160   1126    0    0     0     0 1004 7063 22 22 56  0  0
2015-09-21 11:30:17.000  1  0      0   2745    160   1125    0    0     0    84 1027 7206 18 20 62  0  0
2015-09-21 11:30:18.000  0  0      0   2738    160   1132    0    0     0     0 1001 8043 23 21 56  0  0
2015-09-21 11:30:19.000  2  0      0   2697    160   1173    0    0     0     0 1033 8098 38 30 33  0  0
2015-09-21 11:30:21.000 123  0      0   2666    160   1204    0    0     0     0 1005 9773 54 33 13  0  0
2015-09-21 11:30:21.000  0  0      0   2721    160   1148    0    0     0     0 1021 10601 37 32 31  0  0
2015-09-21 11:30:22.000  1  0      0   2721    160   1148    0    0     0   120 1007 6735 23 19 59  0  0
2015-09-21 11:30:23.000  4  0      0   2828    160   1044    0    0     0     0 1019 8394 37 30 33  0  0
2015-09-21 11:30:24.000  3  0      0   2819    159   1054    0    0     0     0 1004 5370 55 29 16  0  0
2015-09-21 11:30:25.000  3  0      0   2792    157   1081    0    0     0     0 1020 16120 60 25 15  0  0
