05:57:16 procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
05:57:16  r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
05:57:16  2  0      0   2700    232   1096    0    0     3     5   83  424  2  1 97  0  0
05:57:17  3  0      0   2671    232   1125    0    0     0     0 1021 5553 58 18 24  0  0
05:57:18  4  0      0   2643    232   1153    0    0     0     0 1001 12882 70 16 15  0  0
05:57:19  0  0      0   2633    232   1161    0    0     0     0 1021 4246 38  6 56  0  0
05:57:20  0  0      0   2638    232   1155    0    0     0     0 1002 1466  3  1 96  0  0
05:57:21  0  0      0   2638    232   1155    0    0     0   344 1038 1508  6  2 93  0  0
05:57:22  0  0      0   2638    232   1155    0    0     0     0 1135 1457  6  2 92  0  0
05:57:23  0  0      0   2638    232   1155    0    0     0     0 1098 1473  6  2 93  0  0
05:57:24  0  0      0   2638    232   1155    0    0     0     0 1016 1198  4  2 94  0  0
05:57:25  0  0      0   2638    232   1156    0    0     0     0 1104 1259  3  1 96  0  0
05:57:26  0  0      0   2638    232   1156    0    0     0    92 1044 1581  5  2 94  0  0
05:57:27  0  0      0   2638    232   1156    0    0     0     0 1050 1586  2  2 96  0  0
05:57:28  0  0      0   2638    232   1156    0    0     0     0 1082 1487  3  2 95  0  0
05:57:29  0  0      0   2637    232   1156    0    0     0     0 1020 1241  3  1 96  0  0
05:57:30  2  0      0   2637    232   1156    0    0     0   308 1057 1346  3  2 96  0  0
05:57:31  1  0      0   2637    232   1156    0    0     0    68 1025 1367  4  2 95  0  0
05:57:32  1  0      0   2637    232   1156    0    0     0     0 1003 1315  4  1 95  0  0
05:57:33  1  0      0   2637    232   1156    0    0     0     0 1023 1261  5  2 93  0  0
05:57:34  1  0      0   2637    232   1156    0    0     0     0 1001 1137  3  1 97  0  0
05:57:35  1  0      0   2637    232   1156    0    0     0     0 1020 1377  3  2 95  0  0
05:57:36  1  0      0   2637    232   1156    0    0     0    68 1006 1391  2  1 96  1  0
05:57:37  1  0      0   2637    232   1156    0    0     0     0 1020 1427  4  1 95  0  0
05:57:38  1  0      0   2637    232   1157    0    0     0     0 1003 1219  3  2 95  0  0
05:57:39  2  0      0   2637    232   1157    0    0     0     0 1035 1356  3  1 96  0  0
05:57:40  1  0      0   2637    232   1157    0    0     0     0 1002 1288  3  1 96  0  0
05:57:41  1  0      0   2637    232   1157    0    0     0    92 1028 1501  4  2 95  0  0
05:57:42  1  0      0   2637    232   1157    0    0     0     0 1003 1431  4  1 95  0  0
05:57:43  1  0      0   2637    232   1157    0    0     0     0 1020 1247  3  1 96  0  0
05:57:44  2  0      0   2637    232   1157    0    0     0     0 1002 1217  3  1 96  0  0
05:57:45  1  0      0   2637    232   1157    0    0     0     0 1021 1454  4  1 95  0  0
05:57:46  0  0      0   2635    232   1159    0    0     0    96 1007 1504  4  2 95  0  0
05:57:47  3  0      0   2637    232   1157    0    0     0     0 1021 1682  2  2 96  0  0
05:57:48  0  0      0   2637    232   1157    0    0     0     0  993 1514  4  2 95  0  0
05:57:49  0  0      0   2637    232   1157    0    0     0     0 1020 1436  2  1 97  0  0
05:57:50  1  0      0   2637    232   1157    0    0     0     8 1005 1537  3  1 96  0  0
05:57:51  0  0      0   2637    232   1157    0    0     0    76 1024 1644  4  1 96  0  0
05:57:52  0  0      0   2637    232   1157    0    0     0     0 1001 1380  2  1 97  0  0
05:57:53  0  0      0   2637    232   1157    0    0     0     0 1021 1445  4  2 94  0  0
05:57:54  0  0      0   2637    232   1157    0    0     0     0 1014 1374  2  2 97  0  0
05:57:55  0  0      0   2637    232   1157    0    0     0     0 1020 1340  2  1 97  0  0
05:57:56  0  0      0   2637    232   1157    0    0     0    84 1004 1479  2  1 97  0  0
05:57:57  0  0      0   2637    232   1157    0    0     0     0 1022 1449  3  2 95  0  0
05:57:58  1  0      0   2636    232   1157    0    0     0     0 1001 1300  3  1 96  0  0
05:57:59  0  0      0   2636    232   1157    0    0     0     0 1022 1275  4  1 95  0  0
05:58:00  0  0      0   2636    232   1157    0    0     0     0 1003 1415  3  1 96  0  0
05:58:01  0  0      0   2636    232   1157    0    0     0    72 1024 1458  3  1 96  1  0
05:58:02  0  0      0   2636    232   1157    0    0     0     0 1002 1382  2  2 97  0  0
05:58:03  0  0      0   2636    232   1157    0    0     0     0 1019 1316  1  2 97  0  0
05:58:04  0  0      0   2636    232   1157    0    0     0     0 1000 1225  3  1 97  0  0
05:58:05  0  0      0   2636    232   1157    0    0     0    60 1031 1235  3  2 96  0  0
05:58:06  0  0      0   2636    232   1157    0    0     0    68 1006 1438  2  1 97  0  0
05:58:07  0  0      0   2636    232   1157    0    0     0     0 1020 1409  2  1 97  0  0
05:58:08  0  0      0   2636    232   1157    0    0     0     0 1002 1293  2  1 97  0  0
05:58:09  2  0      0   2636    232   1157    0    0     0     0 1031 1318  2  1 97  0  0
05:58:10  0  0      0   2636    232   1157    0    0     0     0 1004 1286  4  1 96  0  0
05:58:11  0  0      0   2636    232   1157    0    0     0    92 1025 1473  3  1 96  0  0
05:58:12  0  0      0   2636    232   1157    0    0     0     0 1002 1396  2  2 96  0  0
05:58:13  0  0      0   2636    232   1157    0    0     0     0 1020 1347  3  2 95  0  0
05:58:14  0  0      0   2636    232   1157    0    0     0     0 1002 1446  4  2 95  0  0
05:58:15  0  0      0   2636    232   1157    0    0     0     0 1022 1325  2  1 97  0  0
05:58:16  0  0      0   2636    232   1157    0    0     0    64 1005 1365  3  2 96  0  0
05:58:17  0  0      0   2636    232   1157    0    0     0     0 1018 1473  2  1 97  0  0
05:58:18  0  0      0   2636    232   1157    0    0     0     0  999 1437  4  2 95  0  0
05:58:19  0  0      0   2636    232   1157    0    0     0     0 1022 1260  3  1 96  0  0
05:58:20  0  0      0   2636    232   1157    0    0     0     0 1003 1708  3  2 95  0  0
05:58:21  0  0      0   2636    232   1157    0    0     0    76 1023 1516  9  2 89  1  0
05:58:22  0  0      0   2636    232   1157    0    0     0     0 1002 1337  3  1 96  0  0
05:58:23  2  0      0   2636    232   1157    0    0     0     0 1022 1304  2  1 97  0  0
05:58:24  1  0      0   2636    232   1157    0    0     0     0 1007 1298  4  1 95  0  0
05:58:25  1  0      0   2636    232   1157    0    0     0    12 1030 1268  4  1 96  0  0
05:58:26  3  0      0   2636    232   1157    0    0     0    92  998 1420  3  1 96  0  0
05:58:27  1  0      0   2636    232   1157    0    0     0     0 1022 1494  4  1 95  0  0
05:58:28  1  0      0   2636    232   1157    0    0     0     0  995 1344  3  1 96  0  0
05:58:29  1  0      0   2636    232   1157    0    0     0     0 1020 1299  3  2 96  0  0
05:58:30  1  0      0   2636    232   1157    0    0     0     0 1001 1393  3  1 96  0  0
05:58:31  1  0      0   2636    232   1157    0    0     0    72 1025 1415  4  2 94  0  0
05:58:32  2  0      0   2636    232   1157    0    0     0     0 1002 1435  4  2 94  0  0
05:58:33  1  0      0   2636    232   1157    0    0     0     0 1020 1408  2  1 97  0  0
05:58:34  1  0      0   2636    232   1157    0    0     0     0 1002 1258  4  2 95  0  0
05:58:35  2  0      0   2636    232   1157    0    0     0     0 1023 1287  4  1 96  0  0
05:58:36  1  0      0   2636    232   1157    0    0     0    72 1007 1493  3  1 96  0  0
05:58:37  1  0      0   2636    232   1157    0    0     0     0 1021 1427  4  2 94  0  0
05:58:38  1  0      0   2636    232   1157    0    0     0     0 1002 1363  2  1 98  0  0
05:58:39  1  0      0   2636    232   1157    0    0     0     0 1020 1351  3  1 96  0  0
05:58:40  1  0      0   2636    232   1157    0    0     0    16 1018 1450  3  1 96  0  0
05:58:41  1  0      0   2636    232   1157    0    0     0    96 1025 1583  2  2 96  0  0
05:58:42  1  0      0   2636    232   1157    0    0     0     0 1001 1376  2  1 97  0  0
05:58:43  1  0      0   2636    232   1157    0    0     0     0 1021 1331  2  1 97  0  0
05:58:44  1  0      0   2636    232   1157    0    0     0     0 1004 1337  2  2 96  0  0
05:58:45  1  0      0   2636    232   1157    0    0     0     0 1024 1386  3  2 96  0  0
05:58:46  1  0      0   2636    232   1157    0    0     0    72 1006 1460  4  2 94  0  0
05:58:47  2  0      0   2635    232   1159    0    0     0     0 1019 1581  5  2 93  0  0
05:58:48  0  0      0   2636    232   1157    0    0     0     0 1003 1335  3  1 96  0  0
05:58:49  0  0      0   2636    232   1157    0    0     0     0 1021 1260  3  1 96  0  0
05:58:50  0  0      0   2636    232   1157    0    0     0     0 1003 1402  3  2 95  0  0
05:58:51  0  0      0   2636    232   1157    0    0     0    80 1025 1493  3  2 96  0  0
05:58:52  5  0      0   2633    232   1161    0    0     0     0 1003 1426  6  1 93  0  0
05:58:53  4  0      0   2636    232   1157    0    0     0     0 1023 1358  3  1 96  0  0
05:58:54  2  0      0   2634    232   1160    0    0     0     0 1001 1356  5  2 93  0  0
05:58:55  1  0      0   2635    232   1159    0    0     0     0 1034 1309  6  1 94  0  0
